Time	"Time Code"	"Country Name"	"Country Code"	"Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS]"	"Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS]"	"Arms exports (SIPRI trend indicator values) [MS.MIL.XPRT.KD]"	"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]"	"Children out of school (% of primary school age) [SE.PRM.UNER.ZS]"	"CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"GINI index (World Bank estimate) [SI.POV.GINI]"	"Income share held by highest 10% [SI.DST.10TH.10]"	"International migrant stock (% of population) [SM.POP.TOTL.ZS]"	"International tourism, number of arrivals [ST.INT.ARVL]"	"Land area (sq. km) [AG.LND.TOTL.K2]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Net migration [SM.POP.NETM]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS]"	"Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS]"	"Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Smoking prevalence, total (ages 15+) [SH.PRV.SMOK]"	"Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]"	"Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant) [SP.MTR.1519.ZS]"	"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"
2013	"YR2013"	"Lebanon"	"LBN"	"1.74558687916459"	"3.97731340434164"	""	""	""	"3.81789230451114"	"7923.851717266"	""	""	""	"1274000"	"10230"	"78.683"	""	"2.52"	"26.6433982488142"	"41.0226509818301"	"9.4"	"3.1"	"12.21"	"34.2"	""	""	"6.38199996948242"
2013	"YR2013"	"Lesotho"	"LSO"	""	"0.226160684905018"	""	""	"9.35521"	"1.20032792396818"	"1245.24791858887"	""	""	""	"433000"	"30360"	"48.663"	""	""	"34.139992999857"	""	"13.1"	"26.7"	"73.899"	"24.4"	""	""	"24.5799999237061"
2013	"YR2013"	"Liberia"	"LBR"	""	"0.14966562509126"	""	""	""	"0.225285252995645"	"721.930055405248"	""	""	""	""	"96320"	"61.186"	""	""	"42.6453522722084"	"56.6826490140055"	"38.5"	"11"	"51.015"	"10.3"	""	"31.3"	"2.28800010681152"
2013	"YR2013"	"Libya"	"LBY"	"0"	"0.301114381308884"	""	""	""	"8.9024132964599"	"10363.7894894551"	""	""	""	""	"1759540"	"71.907"	""	""	"28.8001949256055"	"22.4646832187481"	""	"16.5"	"21.244"	""	""	""	"18.3080005645752"
2013	"YR2013"	"Liechtenstein"	"LIE"	""	""	""	""	""	"1.38999296041588"	"173058.317372602"	""	""	""	"52400"	"160"	"82.2609756097561"	""	""	""	""	""	"20"	"85.666"	""	""	""	""
2013	"YR2013"	"Lithuania"	"LTU"	"3.36828237776611"	"1.49001958408428"	""	""	"0.1379"	"4.27365723711993"	"15693.7867282599"	"35.3"	"27.1"	""	"2012000"	"62675"	"73.9146341463415"	""	"4.2205"	"14.5428580354371"	"26.654344404862"	"2.5"	"24.1"	"33.014"	"29.9"	""	""	"11.7700004577637"
2013	"YR2013"	"Luxembourg"	"LUX"	"2.50730725785099"	"0.573725645156388"	""	""	"3.60694"	"18.4983197143698"	"113625.13289956"	"32"	"24.2"	""	"945000"	"2430"	"81.8"	""	"2.7997"	"16.8989604836331"	""	"2.5"	"23.3"	"10.426"	"25.2"	""	""	"5.84800004959106"
2013	"YR2013"	"Macao SAR, China"	"MAC"	""	""	""	""	"11.93116"	"2.0450835856259"	"89287.4540184115"	""	""	""	"14268000"	"30.2999997138977"	"83.361"	""	""	"12.4865771114637"	"99.7348330019468"	"12.2"	""	"0"	""	""	""	"1.82000005245209"
2013	"YR2013"	"Madagascar"	"MDG"	""	"0.186016486227804"	""	""	""	"0.135748253808274"	"461.720920533436"	""	""	""	"196000"	"581800"	"64.713"	""	""	"42.4275894327205"	"30.3477407157107"	"35.7"	"17.5"	"66.122"	""	""	"35.4"	"0.935000002384186"
2013	"YR2013"	"Malawi"	"MWI"	""	"0.102098422879656"	""	"36.2569334751656"	""	"0.0773254119239973"	"348.430269640572"	""	""	""	"795000"	"94280"	"59.931"	""	""	"45.7363419032903"	"32.8635634968275"	"19"	"22.3"	"84.034"	"15.3"	""	""	"5.94600009918213"
2013	"YR2013"	"Malaysia"	"MYS"	"0.971156809299827"	"0.962022436149001"	"15000000"	"52.9992519246741"	"0.33573"	"8.02577373847224"	"10970.1232849014"	"41.3"	"31.8"	""	"25715000"	"328550"	"75.072"	""	""	"26.1341210196246"	"29.8447610904478"	"3.2"	"10.4"	"27.07"	"22.5"	""	""	"3.10999989509583"
2013	"YR2013"	"Maldives"	"MDV"	""	""	""	""	""	"2.62941387366967"	"7928.45736514824"	""	""	""	"1125000"	"300"	"77.018"	""	""	"22.4628422519147"	""	"11.1"	"6.5"	"62.315"	"29.5"	""	""	"5.0310001373291"
2013	"YR2013"	"Mali"	"MLI"	""	"0.193332170063497"	""	""	"37.35743"	"0.0624175373121626"	"805.259668494187"	""	""	""	"142000"	"1220190"	"56.578"	""	""	"47.9474711447287"	"32.915327498065"	"5.9"	"10.2"	"61.602"	"12.3"	""	"39.3"	"7.30000019073486"
2013	"YR2013"	"Malta"	"MLT"	"1.00155199529233"	"1.10668322361756"	""	""	"0.33278"	"5.49231747999258"	"23830.9370579095"	"28.8"	"23.1"	""	"1582000"	"320"	"81.7463414634146"	""	"3.4641"	"14.4122623201635"	""	"2.5"	"14.3"	"5.721"	"27"	""	""	"6.38600015640259"
2013	"YR2013"	"Marshall Islands"	"MHL"	""	""	""	"41.3793946356619"	""	"1.80329481190066"	"3351.02743334855"	""	""	""	""	"180"	""	""	""	""	""	""	"3"	"25.054"	""	""	""	""
2013	"YR2013"	"Mauritania"	"MRT"	""	"2.01268814048853"	""	""	"25.18958"	"0.699300640682081"	"1477.36153924563"	""	""	""	""	"1030700"	"63.366"	""	"0.068"	"40.8395140896096"	"51.5111138029193"	"7.1"	"22.1"	"50.694"	""	""	""	"9.98700046539307"
2013	"YR2013"	"Mauritius"	"MUS"	"0.702822669608384"	"0.424805226803511"	""	""	"2.1541"	"3.23390958429369"	"9637.00265000958"	""	""	""	"993000"	"2030"	"74.0170731707317"	""	"1.6299"	"20.3380933719489"	""	"5.6"	"18.8"	"58.778"	"22.2"	""	""	"7.32200002670288"
2013	"YR2013"	"Mexico"	"MEX"	"3.09234910919374"	"0.618107071072722"	""	""	"0.4037"	"4.12649965608452"	"10725.1833166036"	""	""	""	"24151000"	"1943950"	"74.93"	""	"2.0915"	"28.3549482428516"	"22.2958589868896"	"4.3"	"36.8"	"21.301"	"15.5"	""	""	"4.91400003433228"
2013	"YR2013"	"Micronesia, Fed. Sts."	"FSM"	""	""	""	"26.4207899238262"	""	"1.35012178313162"	"2983.59798349791"	"40.1"	"29.7"	""	"42100"	"700"	"66.986"	""	""	"33.8179483790571"	""	""	"0"	"77.645"	""	""	""	""
2013	"YR2013"	"Moldova"	"MDA"	"0.877833759959033"	"0.624718876505573"	""	"19.9179521087551"	"7.92693"	"1.40453233128176"	"2668.68303171369"	"28.5"	"23.3"	""	"95600"	"32880"	"70.968"	""	"2.5619"	"15.9201991071006"	"35.5104665077698"	""	"19.8"	"57.473"	"24.2"	""	""	"5.10400009155273"
2013	"YR2013"	"Monaco"	"MCO"	""	""	""	""	""	""	"177593.351895053"	""	""	""	"328000"	"2"	""	""	"6.5789"	""	""	""	"20.8"	"0"	""	""	""	""
2013	"YR2013"	"Mongolia"	"MNG"	"0.131045563296553"	"1.4077448490616"	""	""	"3.9196"	"13.4474854534956"	"4366.07590145025"	""	""	""	"418000"	"1553560"	"68.566"	""	"3.1059"	"27.9257933694706"	"64.6927712501032"	"16.7"	"14.9"	"31.903"	"26.6"	""	""	"4.23099994659424"
2013	"YR2013"	"Montenegro"	"MNE"	"15.0454482580897"	"4.83279635596045"	""	""	""	"3.61855387978564"	"7186.43192406181"	"32.4"	"24.9"	""	"1324000"	"13450"	"76.089"	""	"2.1336"	"18.7936360951233"	""	"2.5"	"16"	"34.863"	"47"	""	""	"19.496000289917"
2013	"YR2013"	"Morocco"	"MAR"	"1.87145877414529"	"2.07431429270904"	""	""	"4.91006"	"1.75237993773404"	"3121.68117550498"	"39.5"	"31.9"	""	"10046000"	"446300"	"75.227"	""	"0.63"	"27.9648595789327"	"17.5573269613994"	"4.2"	"17"	"40.3"	"21.9"	""	""	"9.22999954223633"
2013	"YR2013"	"Mozambique"	"MOZ"	"8.66700187494648"	"0.100261566313045"	""	""	"10.87527"	"0.157234663727261"	"626.69775579491"	""	""	""	"1886000"	"786380"	"54.949"	""	"0.0549"	"45.6809824279447"	"13.2404282930877"	"26.6"	"39.2"	"66.64"	"17.5"	""	""	"3.23399996757507"
2013	"YR2013"	"Myanmar"	"MMR"	"3.58528949339739"	"2.09261367917405"	""	""	""	"0.248014679190382"	"1162.33144011893"	""	""	""	"2044000"	"653080"	"64.921"	""	""	"28.7656529675694"	"30.4923944833423"	"12.9"	"6"	"70.543"	"21.9"	""	""	"0.837999999523163"
2013	"YR2013"	"Namibia"	"NAM"	"17.9486428177847"	"1.76856675117778"	""	"23.2558678839255"	""	"1.17717807397325"	"5694.08263428425"	""	""	""	"1176000"	"823290"	"60.513"	""	""	"37.0255221830412"	"34.5457819393176"	"32"	"24.4"	"55.244"	"21.4"	""	"18.6"	"19.0279998779297"
2013	"YR2013"	"Nauru"	"NRU"	""	""	""	""	""	"4.06653728860549"	"10038.9491043601"	""	""	""	""	"20"	""	""	""	""	""	""	"5.3"	"0"	"43.3"	""	""	""
2013	"YR2013"	"Nepal"	"NPL"	"5.25574685357306"	"1.07774434360143"	""	""	""	"0.246574529237155"	"715.923743046061"	""	""	""	"798000"	"143350"	"68.806"	""	"0.5425"	"34.6104493206156"	"22.6912526001345"	"9"	"33.2"	"82.185"	"24.6"	""	""	"1.54999995231628"
2013	"YR2013"	"Netherlands"	"NLD"	"2.51508786889777"	"0.481784538833169"	"367000000"	""	""	"10.3100627858175"	"52184.0618504931"	"28.1"	"22.7"	""	"12783000"	"33690"	"81.3048780487805"	""	"3.3065"	"17.0814834112289"	"7.26805351893318"	"2.5"	"38.7"	"10.813"	"27.7"	""	""	"7.24300003051758"
2013	"YR2013"	"New Caledonia"	"NCL"	""	""	""	""	""	"16.092239711739"	""	""	""	""	"108000"	"18280"	"77.1762108738893"	""	""	"24.6978148818129"	""	"7.2"	""	"31.521"	""	""	""	"14.7189998626709"
2013	"YR2013"	"New Zealand"	"NZL"	"13.4252921807959"	"0.355130401794537"	""	"46.5581949244339"	"1.57055"	"7.53195740753247"	"42949.1422285498"	""	""	""	"2629000"	"263310"	"81.4073170731707"	""	"2.7856"	"20.2565001997338"	"36.7371945285968"	"2.5"	"32.2"	"13.779"	"17.8"	""	""	"6.2649998664856"
2013	"YR2013"	"Nicaragua"	"NIC"	"3.18147154752007"	"0.443606848994011"	""	""	""	"0.750644376023307"	"1811.63803574901"	""	""	""	"1229000"	"120340"	"73.197"	""	"0.9158"	"31.9964826142272"	"29.0445164869397"	"17.9"	"40.2"	"42.495"	""	""	""	"5.28000020980835"
2013	"YR2013"	"Niger"	"NER"	"0.0119957429061222"	"0.147138338090348"	""	""	"39.16838"	"0.104832266956978"	"414.388613126623"	""	""	""	"123000"	"1266700"	"59.455"	""	"0.0513"	"50.2639470293388"	"34.8157323526176"	"10.4"	"13.3"	"83.792"	"7.4"	""	""	"0.323000013828278"
2013	"YR2013"	"Nigeria"	"NGA"	"0.277955771593848"	"0.306847861212637"	""	""	""	"0.571337668566547"	"2998.07284264118"	""	""	""	"600000"	"910770"	"52.228"	""	"0.3827"	"44.2167637127518"	"14.4992238016929"	"7.8"	"6.7"	"53.882"	"6.1"	""	"22.5"	"3.70300006866455"
2013	"YR2013"	"North Macedonia"	"MKD"	"5.92867005777624"	"0.833903167164229"	""	""	"9.41189"	"3.7799261777197"	"5210.67583028154"	"36.2"	"25.4"	""	"400000"	"25220"	"75.171"	""	"2.7962"	"17.1141875478971"	"45.8170847363979"	"4.4"	"34.1"	"42.811"	""	""	""	"28.996000289917"
2013	"YR2013"	"Northern Mariana Islands"	"MNP"	""	""	""	""	""	""	"14274.2406542056"	""	""	""	"436000"	"460"	""	""	""	""	""	""	""	"8.81"	""	""	""	""
2013	"YR2013"	"Norway"	"NOR"	"29.1717391777941"	"0.95640037588759"	"175000000"	""	"0.04675"	"11.4501188375594"	"103059.24822759"	"26.4"	"21.3"	""	"4778000"	"365123.0078125"	"81.7512195121951"	""	"4.3084"	"18.2862137768717"	"23.0620372681651"	"2.5"	"39.6"	"19.714"	"23.3"	""	""	"3.42300009727478"
