Time	"Time Code"	"Country Name"	"Country Code"	"Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS]"	"Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS]"	"Arms exports (SIPRI trend indicator values) [MS.MIL.XPRT.KD]"	"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]"	"Children out of school (% of primary school age) [SE.PRM.UNER.ZS]"	"CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"GINI index (World Bank estimate) [SI.POV.GINI]"	"Income share held by highest 10% [SI.DST.10TH.10]"	"International migrant stock (% of population) [SM.POP.TOTL.ZS]"	"International tourism, number of arrivals [ST.INT.ARVL]"	"Land area (sq. km) [AG.LND.TOTL.K2]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Net migration [SM.POP.NETM]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS]"	"Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS]"	"Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Smoking prevalence, total (ages 15+) [SH.PRV.SMOK]"	"Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]"	"Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant) [SP.MTR.1519.ZS]"	"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"
2013	"YR2013"	"Puerto Rico"	"PRI"	""	""	""	""	"13.15559"	""	"28513.1657351067"	""	""	""	"3172000"	"8870"	"79.0343414634146"	""	""	"19.493027400083"	"73.3524943482433"	""	""	"6.31399999999999"	""	""	""	"14.3000001907349"
2013	"YR2013"	"Qatar"	"QAT"	"0"	"0.675032493089498"	""	""	"6.09603"	"36.3879175236907"	"85050.9109716822"	""	""	""	"2611900"	"11610"	"79.527"	""	""	"13.1635034884408"	"24.3669809828935"	""	"0"	"1.215"	"20.3"	""	""	"0.270000010728836"
2013	"YR2013"	"Romania"	"ROU"	"13.3781140713347"	"1.64935066492378"	"108000000"	""	""	"3.55016707872764"	"9555.2442173314"	"36.9"	"25.4"	""	"8019000"	"230030"	"75.0634146341463"	""	"2.6324"	"15.6394229985969"	"17.3261212676521"	"2.5"	"13.3"	"46.063"	"31.1"	""	""	"7.09600019454956"
2013	"YR2013"	"Russian Federation"	"RUS"	"7.72623000155985"	"1.66954537365201"	"7932000000"	"9.04888217925219"	"0.40546"	"12.3935564747819"	"16007.089993444"	"40.9"	"32.4"	""	"30792000"	"16376870"	"70.5787804878049"	""	"4.0153"	"15.9991741996936"	"11.1458793147187"	"2.5"	"13.6"	"26.137"	"39.8"	""	""	"5.45800018310547"
2013	"YR2013"	"Rwanda"	"RWA"	""	"0.649819990579467"	""	""	""	"0.0742792217540087"	"704.980159418804"	"45.1"	"37.9"	""	"864000"	"24670"	"66.219"	""	"0.0998"	"40.993372080827"	"48.3779892502696"	"32.9"	"63.8"	"83.053"	"13.1"	""	"5.4"	"1.15400004386902"
2013	"YR2013"	"Samoa"	"WSM"	""	""	""	""	""	"1.0382818521684"	"4219.90973818392"	"38.7"	"31.3"	""	"116000"	"2830"	"72.351"	""	"0.4822"	"38.2035256242201"	""	"2.9"	"4.1"	"80.615"	"30.2"	""	""	"8.79599952697754"
2013	"YR2013"	"San Marino"	"SMR"	""	""	""	"48.6014869252669"	""	""	"57302.6880026149"	""	""	""	"71000"	"60"	""	""	"5.0774"	""	""	""	"18.3"	"3.63"	""	""	""	""
2013	"YR2013"	"Sao Tome and Principe"	"STP"	""	""	""	""	"11.49269"	"0.591799549162619"	"1577.02232910998"	""	""	""	""	"960"	"68.695"	""	""	"43.483421574599"	""	"12.1"	"18.2"	"31.792"	""	""	""	"13.9270000457764"
2013	"YR2013"	"Saudi Arabia"	"SAU"	"4.47494423048718E-05"	"2.11166785068401"	""	""	"2.1675"	"18.0034004139021"	"24844.7443709487"	""	""	""	"15772000"	"2149690"	"74.402"	""	""	"27.0811194667227"	"23.3175522682012"	"5.4"	"19.9"	"17.26"	"15.3"	""	""	"5.57000017166138"
2013	"YR2013"	"Senegal"	"SEN"	"0.626300363359503"	"0.505557187895221"	""	""	"24.79005"	"0.611148042216099"	"1375.67875390488"	""	""	""	"1063000"	"192530"	"65.939"	""	"0.3103"	"43.5449235925408"	"42.2332203223746"	"13.5"	"42.7"	"54.981"	"8.5"	""	"15.5"	"8.51299953460693"
2013	"YR2013"	"Serbia"	"SRB"	"4.07651390541765"	"0.90338440209752"	"11000000"	""	"3.50304"	"6.26511069310281"	"6755.07351070594"	"39.8"	"28.2"	""	"922000"	"87460"	"75.1853658536585"	""	"2.4941"	"16.5750074224367"	"34.1294586237302"	"6"	"33.2"	"44.531"	"40.4"	""	""	"22.1539993286133"
2013	"YR2013"	"Seychelles"	"SYC"	""	""	""	"51.5506298157061"	"0.788"	"4.48443006592625"	"14765.6739800428"	"46.8"	"39.9"	""	"230000"	"460"	"73.119512195122"	""	""	"22.8973713796242"	""	""	"43.8"	"45.463"	"22.3"	""	""	""
2013	"YR2013"	"Sierra Leone"	"SLE"	""	"0.452179050846027"	""	""	"0.22515"	"0.173627399846736"	"716.835304734774"	""	""	""	"81000"	"72180"	"51.731"	""	""	"42.4688092813777"	"35.8662083074515"	"22.6"	"12.4"	"59.964"	"26.9"	""	"27.9"	"4.54500007629395"
2013	"YR2013"	"Singapore"	"SGP"	"0.198830885025383"	"4.66584076648763"	"1000000"	"99.4464888561159"	""	"10.3119819334926"	"56967.4257940383"	""	""	""	"11899000"	"706.999969482422"	"82.2463414634147"	""	"1.9286"	"13.2269671236438"	"99.2901676223088"	""	"24.2"	"0"	"16.5"	""	""	"3.85999989509583"
2013	"YR2013"	"Sint Maarten (Dutch part)"	"SXM"	""	""	""	""	""	"19.5335591553528"	""	""	""	""	"467000"	"34"	""	""	""	""	""	""	""	"0"	""	""	""	""
2013	"YR2013"	"Slovak Republic"	"SVK"	"27.1642768726013"	"0.583060349505134"	"1000000"	""	"4.06477"	"6.11280355961594"	"18191.612786163"	"28.1"	"22.1"	""	"1670000"	"48087.998046875"	"76.4121951219512"	""	"3.3833"	"15.1734549428457"	"14.2177028815574"	"3.8"	"18.7"	"45.86"	"30.1"	""	""	"14.2200002670288"
2013	"YR2013"	"Slovenia"	"SVN"	"25.9097764936095"	"1.33833240818842"	""	""	"0.65703"	"6.8695513926774"	"23357.939198652"	"26.2"	"21.4"	""	"2259000"	"20140"	"80.3219512195122"	""	"2.6214"	"14.4231281899656"	""	"2.5"	"32.2"	"46.668"	"23.3"	""	""	"10.1020002365112"
2013	"YR2013"	"Solomon Islands"	"SLB"	""	""	""	"11.5017783763249"	"0.40836"	"0.353006554823352"	"1977.45141074327"	"37.1"	"29.2"	""	"24400"	"27990"	"71.601"	""	"0.1899"	"40.5411176610611"	""	"12.8"	"2"	"78.567"	""	""	""	"2.04099988937378"
2013	"YR2013"	"Somalia"	"SOM"	""	"0.350200139379655"	""	""	""	"0.0465964252410457"	"257.828751500965"	""	""	""	""	"627340"	"55.104"	""	""	"47.6936436313109"	"29.2220650482248"	""	"13.8"	"57.883"	""	""	""	"14.6309995651245"
2013	"YR2013"	"South Africa"	"ZAF"	"2.7687404681877"	"0.3825999399147"	"103000000"	""	""	"8.68659025060442"	"6829.02046524471"	""	""	""	"9537000"	"1213090"	"61.099"	""	"0.7411"	"29.4312168462153"	"13.6536921166714"	"4.8"	"42.3"	"36.207"	"20.6"	""	""	"24.5690002441406"
2013	"YR2013"	"South Sudan"	"SSD"	"0.0254005759432917"	"4.28685303277473"	""	""	""	"0.139880247639892"	"1280.30719725591"	""	""	""	""	""	"56.2"	""	""	"43.0389370967843"	"15.3499433629804"	""	"26.5"	"81.585"	""	""	""	"12.8660001754761"
2013	"YR2013"	"Spain"	"ESP"	"20.812756639996"	"0.91584840673412"	"728000000"	"99.4018814254977"	"0.22942"	"5.08439835268284"	"29211.7737455935"	"36.2"	"25.9"	""	"60675000"	"500210"	"83.0780487804878"	""	"3.8046"	"14.9382422602929"	"16.3835579900596"	"2.5"	"36"	"20.867"	"30.9"	""	""	"26.0939998626709"
2013	"YR2013"	"Sri Lanka"	"LKA"	"5.39951636077481"	"2.62725029699351"	""	"70.8211060610562"	"3.49244"	"0.75246091814428"	"3610.28936304898"	""	""	""	"1275000"	"62710"	"75.974"	""	"1.0869"	"25.0518437601116"	"15.1881524525248"	"11.1"	"5.8"	"81.802"	"13.5"	""	""	"4.44000005722046"
2013	"YR2013"	"St. Kitts and Nevis"	"KNA"	""	""	""	"69.1084988221447"	"0.24868"	"4.44431861079653"	"16878.1904573943"	""	""	""	"107000"	"260"	""	""	""	""	""	""	"6.7"	"69.036"	""	""	""	""
2013	"YR2013"	"St. Lucia"	"LCA"	""	""	""	"63.9823370350729"	""	"2.29299825928242"	"8343.79537356784"	""	""	""	"319000"	"610"	"75.286"	""	""	"20.9922653552134"	""	""	"16.7"	"81.539"	""	""	""	"22.2099990844727"
2013	"YR2013"	"St. Martin (French part)"	"MAF"	""	""	""	""	""	""	""	""	""	""	""	"54.4"	"79.1707317073171"	""	""	""	""	""	""	""	""	""	""	""
2013	"YR2013"	"St. Vincent and the Grenadines"	"VCT"	""	""	""	"63.5537766005964"	"0.17571"	"1.92427869124119"	"6639.62179139933"	""	""	""	"72000"	"390"	"71.939"	""	""	"24.6165601811788"	""	"5.7"	"13"	"49.846"	""	""	""	"19.6909999847412"
2013	"YR2013"	"Sudan"	"SDN"	"3.75261767655491"	"2.60847397758528"	"11000000"	""	"43.94469"	"0.309687394590696"	"1943.91645802007"	""	""	"0"	"591000"	""	"63.875"	""	""	"42.1782882483131"	"39.2409968878349"	"22.5"	"24.6"	"66.493"	""	""	""	"13.2609996795654"
2013	"YR2013"	"Suriname"	"SUR"	"14.5342247280001"	"0.949593241245631"	""	""	"11.88365"	"3.50424362907484"	"9402.23313695562"	""	""	""	"249000"	"156000"	"71.002"	""	""	"28.4667571730578"	""	"8.2"	"11.8"	"33.86"	"28.7"	""	""	"6.59999990463257"
2013	"YR2013"	"Sweden"	"SWE"	"46.7712185753299"	"0.315732953460178"	"386000000"	""	"0.04159"	"4.67142078453361"	"60347.6874885834"	"28.8"	"22.2"	""	"5229000"	"407340"	"81.9560975609756"	""	"4.1271"	"16.8414255081297"	"17.4466454194586"	"2.5"	"44.7"	"14.064"	"20.9"	""	""	"8.05200004577637"
2013	"YR2013"	"Switzerland"	"CHE"	"38.8670912293051"	"0.456414263493431"	"174000000"	"20.6569585113431"	"0.21238"	"4.97283587573087"	"85112.4643984141"	"32.5"	"25.5"	""	"8967000"	"39516.0009765625"	"82.7975609756098"	""	"4.0185"	"14.8084235574885"	"21.7907813169859"	"2.5"	"29"	"26.326"	"26.7"	""	""	"4.74700021743774"
2013	"YR2013"	"Syrian Arab Republic"	"SYR"	"1.60768019142343"	"3.29362967612148"	""	""	"27.60525"	"1.86062444796269"	""	""	""	""	""	"183630"	"70.049"	""	""	"35.019029330242"	"21.7919298156594"	""	"12"	"47.471"	""	""	""	"8.67300033569336"
2013	"YR2013"	"Tajikistan"	"TJK"	"44.4758878741804"	"0.722329783872725"	""	""	"0.78927"	"0.431772052027794"	"1048.22729256115"	""	""	""	"208000"	"139960"	"69.609"	""	"1.6848"	"35.5326808994154"	"36.140021614438"	""	"19"	"73.411"	""	""	""	"11.8219995498657"
2013	"YR2013"	"Tanzania"	"TZA"	"0.505786033350254"	"0.126066213881808"	""	""	"14.99037"	"0.230538234330879"	"970.416938425046"	""	""	""	"1063000"	"885800"	"61.398"	""	""	"44.8479490669837"	"31.2550696889043"	"32.4"	"36"	"69.804"	"15.9"	""	""	"2.9300000667572"
2013	"YR2013"	"Thailand"	"THA"	"0.899895081759354"	"1.15589067167812"	""	"34.7818333986055"	""	"4.40371476195856"	"6168.26489540709"	"37.8"	"29.2"	""	"26547000"	"510890"	"75.378"	""	""	"18.4916063240773"	"28.3745286269717"	"8.2"	"15.8"	"53.807"	"20.8"	""	""	"0.488999992609024"
2013	"YR2013"	"Timor-Leste"	"TLS"	""	"0.484937760243854"	""	""	"7.66193"	"0.381550253837917"	"4888.31712299426"	""	""	""	"79000"	"14870"	"67.953"	""	"0.3099"	"40.6580629050355"	""	"26.5"	"38.5"	"71.221"	"44.6"	""	""	"3.32599997520447"
2013	"YR2013"	"Togo"	"TGO"	"2.15792100789185"	"0.298248415916075"	""	""	""	"0.382269108998046"	"621.222259778549"	""	""	""	"327000"	"54390"	"59.16"	""	""	"42.5321817320664"	"57.6273363901135"	"18.3"	"15.4"	"60.939"	"7.7"	""	""	"1.81200003623962"
2013	"YR2013"	"Tonga"	"TON"	""	""	""	"49.0334337087279"	"1.26423"	"1.11702106752614"	"4428.56648134984"	""	""	""	"48200"	"720"	"70.335"	""	"0.5223"	"36.8504834525588"	""	""	"3.6"	"76.618"	"29.1"	""	""	"1.13499999046326"
2013	"YR2013"	"Trinidad and Tobago"	"TTO"	"0"	"0.605015805104242"	""	""	""	"34.3810031764793"	"20026.7875344705"	""	""	""	"434000"	"5130"	"72.582"	""	""	"20.6871817525705"	"75.2771046428828"	"6.8"	"28.6"	"46.47"	""	""	""	"2.46000003814697"
2013	"YR2013"	"Tunisia"	"TUN"	"0.664110615423163"	"1.20826218783927"	""	""	"1.15617"	"2.5260329385204"	"4222.70324540611"	""	""	""	"7352000"	"155360"	"75.552"	""	""	"23.4799553106738"	"28.5926754171078"	"4.5"	"26.7"	"32.505"	"32.1"	""	""	"15.9340000152588"
2013	"YR2013"	"Turkey"	"TUR"	"6.11513779657651"	"2.20036491299833"	"156000000"	"32.9184777618761"	"6.56701"	"4.27732996504451"	"12519.3914259008"	"40.2"	"30.6"	""	"37795000"	"769630"	"75.784"	""	"1.7651"	"26.1231482529537"	"24.8010381802488"	"2.5"	"14.4"	"27.469"	"29"	""	""	"8.73200035095215"
2013	"YR2013"	"Turkmenistan"	"TKM"	"0"	"0.902421936400583"	""	""	""	"12.4359056159884"	"7304.28713230982"	""	""	""	""	"469930"	"67.375"	""	"2.2125"	"29.883955248773"	"27.0036816978841"	"4.8"	"16.8"	"50.459"	""	""	""	"3.9779999256134"
2013	"YR2013"	"Turks and Caicos Islands"	"TCA"	""	""	""	""	""	"5.70147706659756"	"21328.9790101063"	""	""	""	"290600"	"950"	""	""	""	""	""	""	""	"8.517"	""	""	""	""
2013	"YR2013"	"Tuvalu"	"TUV"	""	""	""	""	""	"1.01326333241227"	"3454.6849532077"	""	""	""	"1300"	"30"	""	""	""	""	""	""	"6.7"	"42.186"	""	""	""	""
2013	"YR2013"	"Uganda"	"UGA"	""	"0.358285329096176"	""	""	"4.35644"	"0.136426458582188"	"689.154814165601"	""	""	""	"1206000"	"200520"	"59.881"	""	""	"48.5081561121471"	"31.2222948505616"	"33.4"	"35"	"79.042"	"11"	""	""	"1.9099999666214"
2013	"YR2013"	"Ukraine"	"UKR"	"19.6131917480218"	"0.564064286058494"	"672000000"	"37.0287155729123"	"6.25623"	"5.97664184780697"	"4029.71550372131"	"24.6"	"21.1"	""	"24671000"	"579320"	"71.159512195122"	""	"3.5097"	"14.7568849971746"	"9.11068737691489"	"2.5"	"9.4"	"31.125"	"30.2"	""	""	"7.17000007629395"
2013	"YR2013"	"United Arab Emirates"	"ARE"	"0.025763191848601"	"0.948959676594542"	"106000000"	"1.89352238938485"	"6.70879"	"18.5592361743048"	"42412.6302780364"	""	""	""	""	"71020"	"76.903"	""	"1.7783"	"13.7299995325025"	"27.7953895904218"	"4.4"	"17.5"	"14.934"	"28.6"	""	""	"2.29200005531311"
2013	"YR2013"	"United Kingdom"	"GBR"	"11.4340020904081"	"0.484405447024352"	"1610000000"	"96.2587724054374"	"0.27542"	"7.14584435876957"	"42938.4251760491"	"33.2"	"25.3"	""	"31063000"	"241930"	"81.0048780487805"	""	"2.7485"	"17.5339850484468"	"15.9810885947719"	"2.5"	"22.5"	"17.898"	"24.6"	""	""	"7.52500009536743"
2013	"YR2013"	"United States"	"USA"	"11.6849567099973"	"0.902310898074699"	"7571000000"	"96.0756025714402"	""	"16.3234767932125"	"53106.9097703155"	"41"	"30.1"	""	"69995000"	"9147420"	"78.7414634146342"	""	"2.5666"	"19.6170488180396"	"7.21309019504676"	"2.5"	"17.9"	"18.701"	"23.3"	""	""	"7.375"
2013	"YR2013"	"Uruguay"	"URY"	"13.1854430231224"	"1.47403696734125"	""	"42.7408509975012"	"0.08381"	"2.23843031250894"	"16973.6742130217"	"40.5"	"30.2"	""	"2683000"	"175020"	"77.124"	""	""	"21.4810811097871"	"52.512096199706"	"2.5"	"12.1"	"5.157"	"20.8"	""	""	"6.44399976730347"
2013	"YR2013"	"Uzbekistan"	"UZB"	"1.91706736502013"	"0.485295337182487"	""	""	"2.50446"	"3.41744243334039"	"1907.56170445805"	""	""	""	"1969000"	"425400"	"70.41"	""	"2.3975"	"28.4391472303253"	"15.0841688347846"	"6.9"	"22"	"49.05"	"13.2"	""	""	"4.8600001335144"
2013	"YR2013"	"Vanuatu"	"VUT"	""	""	""	""	""	"0.414374500750093"	"3124.23307756588"	""	""	""	"110000"	"12190"	"69.57"	""	""	"38.491632084478"	""	"6.5"	"0"	"75.239"	"20.4"	""	""	"5.99100017547607"
2013	"YR2013"	"Venezuela, RB"	"VEN"	"8.24705905142355"	"0.846547635198626"	""	""	"4.75632"	"6.17528542833228"	"12456.7124535391"	""	""	""	"986000"	"882050"	"72.918"	""	""	"29.0708215696967"	"11.0874388146971"	"6.4"	"17"	"11.867"	""	""	""	"7.53999996185303"
2013	"YR2013"	"Vietnam"	"VNM"	"6.93720399976552"	"0.963546933660477"	""	""	"0"	"1.62230762917809"	"1886.67189633671"	""	""	""	"7572000"	"310070"	"75.006"	""	"1.18"	"23.0453274546693"	"23.3116810372171"	"11.4"	"24.4"	"67.571"	"23.2"	""	""	"1.25199997425079"
2013	"YR2013"	"Virgin Islands (U.S.)"	"VIR"	""	""	""	""	""	""	"34819.1477546185"	""	""	""	"590000"	"350"	"78.8682926829268"	""	""	"20.4467109199168"	""	""	""	"4.93000000000001"	""	""	""	"9.35799980163574"
2013	"YR2013"	"West Bank and Gaza"	"PSE"	""	""	""	""	"4.92831"	"0.598167688242572"	"3060.3123893102"	""	""	""	"545000"	"6020"	"73.17"	""	""	"40.7721615876967"	"19.112690722575"	""	""	"25.137"	""	""	""	"23.3969993591309"
2013	"YR2013"	"Yemen, Rep."	"YEM"	"0"	"2.49671299315513"	""	""	"13.7091"	"1.01389988805473"	"1607.15227488681"	""	""	""	"990000"	"527970"	"66.016"	""	""	"41.4220378175479"	"27.5116072556397"	"28.2"	"0.3"	"66.441"	"19"	""	"10.7"	"13.5069999694824"
2013	"YR2013"	"Zambia"	"ZMB"	"9.67483336418316"	"0.275891358999033"	""	"24.2240394368617"	"11.76653"	"0.265078346543839"	"1878.90348886702"	""	""	""	"915000"	"743390"	"59.746"	""	""	"46.7624923759981"	"32.5929108830641"	"46.2"	"11.5"	"59.135"	"14.4"	""	""	"7.80100011825562"
2013	"YR2013"	"Zimbabwe"	"ZWE"	"3.2958428009259"	"0.793866475096893"	""	""	"0.48675"	"0.874563045359989"	"1430.00081795572"	""	""	""	"1833000"	"386850"	"56.897"	""	"0.074"	"42.2314043210628"	"34.1699650756694"	"44.1"	"31.5"	"67.346"	"16.1"	""	""	"5.6230001449585"
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Data from database: World Development Indicators	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Last Updated: 10/28/2019	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
